Word,Method,Pos,Count
come,xpos,NN,958
walk,upos,VERB,2000
walk,upos,NOUN,1686
walk,xpos,VBG,2000
walk,xpos,VBD,1977
walk,xpos,VBN,1933
walk,xpos,VB,1929
walk,xpos,VBP,1913
walk,xpos,VBZ,1742
walk,xpos,NN,1686
hear,upos,VERB,2000
hear,upos,NOUN,1975
hear,xpos,VB,2000
hear,xpos,VBD,1985
hear,xpos,NN,1975
hear,xpos,VBP,1958
hear,xpos,VBN,1904
hear,xpos,VBZ,1902
hear,xpos,VBG,1463
say,upos,VERB,2000
say,upos,NOUN,86
say,xpos,VB,2000
say,xpos,VBP,1995
say,xpos,VBD,1994
say,xpos,VBZ,1976
say,xpos,VBN,1947
say,xpos,VBG,1901
say,xpos,NN,86
chill,upos,NOUN,2000
chill,upos,VERB,1931
chill,xpos,NNS,2000
chill,xpos,VBG,1931
chill,xpos,NN,1842
chill,xpos,VBD,355
whenever,upos,ADV,2000
whenever,xpos,WRB,2000
see,upos,VERB,2000
see,upos,NOUN,521
see,xpos,VBP,2000
see,xpos,VB,1999
see,xpos,VBD,1983
see,xpos,VBN,1975
see,xpos,VBZ,1902
see,xpos,VBG,1644
see,xpos,NN,521
in,upos,ADP,2000
in,upos,ADV,1949
in,upos,SCONJ,1887
in,upos,NOUN,73
in,xpos,IN,2000
in,xpos,RP,1998
in,xpos,RB,1949
in,xpos,NN,73
place,upos,NOUN,2000
place,upos,VERB,1765
place,xpos,NN,2000
place,xpos,NNS,1941
place,xpos,VB,1765
place,xpos,VBN,1661
place,xpos,VBP,1562
like,upos,SCONJ,2000
like,upos,ADP,2000
like,upos,VERB,1997
like,upos,INTJ,1997
like,upos,ADJ,1404
like,xpos,IN,2000
like,xpos,VBP,1997
like,xpos,VB,1997
like,xpos,UH,1997
like,xpos,VBD,1949
like,xpos,VBZ,1766
like,xpos,JJ,1404
like,xpos,VBN,443
a,upos,DET,2000
a,upos,NOUN,1989
a,upos,X,1970
a,upos,PROPN,1647
a,upos,SYM,915
a,xpos,DT,2000
a,xpos,NN,1989
a,xpos,FW,1970
a,xpos,GW,1754
a,xpos,NNP,1647
a,xpos,LS,1291
a,xpos,SYM,915
movie,upos,NOUN,2000
movie,xpos,NN,2000
movie,xpos,NNS,1772
Oowee,upos,PROPN,2000
Oowee,xpos,NNP,2000
waterfall,upos,NOUN,2000
waterfall,xpos,NNS,2000
waterfall,xpos,NN,166
hair,upos,NOUN,2000
hair,upos,VERB,1058
hair,xpos,NN,2000
